"","Animal","Estimator","Area","Period.1","Period.2","Period.3","Period.4","Period.5","Period.6","Period.7","Period.8","Period.9","Period.10","Period.11","Period.12","Period.13","Period.14","Period.15","Period.16","Period.17","Period.18","Period.19","Period.20","Period.21","Period.22","Period.23","Period.24","Period.25","Period.26","Year"
"149",45504,"AKDE","plan",7.98979115516286,1.66054480358979,24.7238754868854,7.81702504306629,15.72586076912,16.1150441230695,14.8944835743505,5.88255734904507,26.4804391123272,6.81844962374017,18.3703836961399,2.86645906234253,8.71303572514179,5.19555207046316,2.29966023421735,4.70344111024264,6.1418886042997,6.00046722143247,15.6948651726935,88.7284937891866,4.64665264313454,38.8499651103131,26.3651682822599,52.0917048874555,4.2170184104619,7.19363764674581,2021
"150",45504,"AKDE","surf",9.10287337996327,1.88090032260657,27.862551209743,8.73120546882607,17.6597881442845,18.0871815609368,16.7087965813196,6.5951680706615,29.7004540767433,7.66896126890937,20.5905352110364,3.21653857144257,9.77100037404068,5.83542587031632,2.57348403035867,5.24296635701439,6.89719608115925,6.74844893032924,17.6190757384233,100.018821346196,5.28333415781905,43.743485642975,29.7161307951427,58.7267803165827,4.79067417459975,8.17984489101404,2021
"151",45504,"BBMM","plan",2.65827967066096,1.22815648269301,13.2793410371441,5.44099450967539,11.7302507459037,7.24059469171553,10.1083328846861,3.73596099977919,5.02050838562348,2.76688986924217,6.02044331958334,1.77243316741104,4.39317579537887,2.40286483535798,2.07876587954654,4.28071489334681,1.85492211805701,2.0559201488177,7.04620129340358,6.51809902525046,2.40863031654048,6.33841153388239,7.85168215063889,13.7404020064382,1.91508231005007,2.91613243320016,2021
"152",45504,"BBMM","surf",3.0429013687624,1.40272240895253,14.9916459843809,6.06763033755124,13.1654610350442,8.12025247681341,11.3768108796833,4.2418930670687,5.66267886696778,3.11195723540671,6.78333772225631,2.00693650397909,4.97693077824767,2.72718548173691,2.3218864018518,4.77838304291048,2.08623105534022,2.32675536521247,7.94112353369201,7.44814560382497,2.73785653702742,7.23206407228556,8.9717941759564,15.6298617459065,2.17712579701763,3.29787020111647,2021
"153",45505,"AKDE","plan",26.2407619785601,17.2742947122979,19.9821550037813,21.0230963875763,18.7830982296852,21.5816940034699,14.1020362499245,21.260906904744,12.2447688181427,5.78233765941456,4.51559679668124,4.34358376289942,1.80924410238838,2.57383896968741,16.4849694916679,7.80703769177283,8.06735465435194,4.84713264438899,37.0844067461472,17.3875286083709,24.9926050436385,47.5600303733291,20.6114545476147,9.88203037033932,9.08598724935635,11.6075848733092,2021
"154",45505,"AKDE","surf",29.500892994645,19.3780877395143,22.2652173803369,23.3909482391136,20.9645085824742,24.1104253096408,15.7495687037866,23.708814746552,13.6646442471417,6.47765964788996,5.06349858906737,4.86633826925763,2.02892786885073,2.87647814564755,18.4131876086589,8.71619554059629,9.0090831407648,5.37327089899962,41.6289125401325,19.5342234084767,27.9426568665912,53.0670154539796,23.1601364760139,11.0246254392044,10.1241608575193,12.9224848883276,2021
"155",45505,"BBMM","plan",6.65733700335798,4.51050951366603,6.79098437725926,7.13441613273533,4.4592749609488,4.52953201983609,5.85184707024351,9.77601295853961,2.14316133305971,5.19102737935834,3.11174768029173,4.09445569264832,2.11740087868105,2.6654628701683,5.64894054915502,3.91518575885764,6.59041811762941,3.27414471316982,14.3125230138289,5.78553186459207,9.41602721486147,18.4109251071162,6.96100164239789,3.67613950834428,4.60718518655626,4.74825572572212,2021
"156",45505,"BBMM","surf",7.55617066826648,5.09871974344318,7.60142669595358,7.96880529269057,4.96266505624073,5.08609353891343,6.54523835198841,10.9347245507111,2.39476359072898,5.8499829215088,3.50186759833527,4.60057288632821,2.38220564029321,3.00097476278358,6.32009277820343,4.39040804126394,7.38375176915747,3.63260727817002,16.1393246802658,6.51128831178978,10.5212896934333,20.6229479103417,7.82894615083958,4.13702934878513,5.12574302980416,5.29107786438615,2021
"157",45506,"AKDE","plan",24.5533290219309,18.8706542178823,4.64192624985107,3.26537886662032,99.4393562343082,3.95699553613194,5.64539803598003,19.7840052873413,32.6568594767094,12.4971899847676,3.66629305157923,5.61187558730392,4.651992716345,7.63594111255124,29.2112241489578,8.85321784086166,7.34461251646303,13.8744806749423,6.11472271634485,15.8051339514477,26.335253632627,3.72074590013825,15.3415150074823,5.25583645764226,53.4153571266758,9.21744138775936,2021
"158",45506,"AKDE","surf",27.7106789741359,21.3174816338534,5.21333518040879,3.6423262538702,1.09154012428039,4.43533433016041,6.33959376277124,22.3260957015023,36.9430431392205,14.0457279486928,4.14279508409217,6.29687700003711,5.21927986193316,8.55123305286594,0.331165264437553,0.100001205551998,8.38385550708978,15.820964760667,6.89438167499561,17.8241110088146,29.5016647742986,4.12954921626042,17.2846130723963,5.85097546878998,60.0174485467384,10.4213020894457,2021
